0.000	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
inf	0.951	1.839	2.663	3.425	4.125	4.764	5.343	5.865	6.329	6.740	7.098	7.406	7.667	7.884	8.059	8.195	8.296	8.366	8.407	8.424	8.428	8.449	8.483	8.525	8.573	8.622	8.668	8.707	8.734	8.747	8.753	8.782	8.837	8.922	9.041	9.196	9.391	9.629	9.914	10.247	10.631	11.068	11.561	12.111	12.720	13.389	14.120	14.913	15.769	16.689	17.671	18.717	19.826	20.998	22.231	23.524	24.876	26.285	27.750	29.268	30.837	32.455	34.119	35.825	37.572	39.356	41.173	43.020	44.893	46.789	48.704	50.634	52.575	54.523	56.474	58.424	60.369	62.305	64.227	66.133	68.019	69.879	71.712	73.513	75.278	77.005	78.691	80.332	81.926	83.470	84.962	86.399	87.780	89.103	90.366	91.568	92.708	93.786	94.800	inf
inf	1.881	1.817	2.620	3.360	4.039	4.656	5.214	5.714	6.157	6.546	6.883	7.170	7.409	7.604	7.757	7.872	7.952	8.000	8.020	8.025	8.050	8.092	8.148	8.212	8.281	8.352	8.419	8.479	8.528	8.563	8.578	8.585	8.619	8.682	8.779	8.913	9.087	9.304	9.567	9.878	10.241	10.656	11.128	11.656	12.244	12.892	13.601	14.372	15.207	16.105	17.066	18.091	19.178	20.328	21.539	22.811	24.141	25.529	26.972	28.469	30.017	31.613	33.255	34.940	36.666	38.428	40.223	42.049	43.901	45.775	47.669	49.577	51.496	53.423	55.352	57.281	59.204	61.118	63.020	64.904	66.768	68.607	70.418	72.197	73.942	75.647	77.311	78.931	80.503	82.026	83.496	84.912	86.271	87.572	88.814	89.994	91.113	92.169	93.162	inf
inf	2.785	2.658	2.595	3.310	3.963	4.555	5.088	5.562	5.980	6.344	6.656	6.917	7.131	7.301	7.429	7.519	7.573	7.596	7.602	7.631	7.682	7.750	7.830	7.920	8.014	8.110	8.202	8.288	8.362	8.422	8.463	8.481	8.489	8.527	8.599	8.708	8.856	9.048	9.285	9.571	9.909	10.299	10.745	11.249	11.811	12.433	13.117	13.864	14.673	15.545	16.481	17.481	18.543	19.668	20.854	22.100	23.405	24.768	26.186	27.657	29.179	30.750	32.367	34.028	35.728	37.464	39.235	41.035	42.862	44.711	46.579	48.462	50.356	52.257	54.162	56.065	57.963	59.852	61.728	63.587	65.426	67.240	69.025	70.779	72.498	74.179	75.817	77.412	78.959	80.456	81.901	83.292	84.626	85.902	87.118	88.273	89.367	90.398	91.365	inf
inf	3.660	3.470	3.344	3.281	3.905	4.469	4.972	5.418	5.807	6.142	6.424	6.657	6.842	6.983	7.082	7.143	7.169	7.175	7.209	7.268	7.347	7.444	7.553	7.672	7.795	7.920	8.041	8.156	8.259	8.347	8.417	8.464	8.485	8.494	8.537	8.616	8.736	8.899	9.107	9.365	9.673	10.035	10.452	10.926	11.460	12.053	12.708	13.426	14.206	15.050	15.957	16.927	17.961	19.056	20.213	21.431	22.707	24.041	25.430	26.872	28.366	29.908	31.496	33.127	34.798	36.506	38.248	40.019	41.817	43.637	45.476	47.331	49.196	51.068	52.943	54.818	56.687	58.547	60.394	62.225	64.034	65.819	67.576	69.301	70.991	72.643	74.253	75.818	77.336	78.804	80.221	81.582	82.887	84.134	85.322	86.448	87.513	88.515	89.454	inf
inf	4.503	4.250	4.060	3.935	3.873	4.404	4.875	5.288	5.645	5.947	6.197	6.398	6.550	6.659	6.726	6.754	6.761	6.799	6.866	6.957	7.069	7.198	7.340	7.491	7.647	7.803	7.957	8.104	8.240	8.361	8.449	8.496	8.517	8.508	8.504	8.552	8.639	8.769	8.945	9.170	9.446	9.775	10.160	10.602	11.103	11.664	12.287	12.972	13.720	14.531	15.406	16.344	17.345	18.408	19.533	20.718	21.961	23.263	24.619	26.029	27.490	29.000	30.556	32.155	33.793	35.469	37.178	38.917	40.682	42.470	44.277	46.099	47.931	49.771	51.614	53.456	55.293	57.120	58.935	60.733	62.510	64.263	65.987	67.680	69.337	70.957	72.534	74.067	75.553	76.989	78.372	79.702	80.974	82.189	83.344	84.438	85.470	86.440	87.346	inf
inf	5.310	4.993	4.741	4.553	4.429	4.368	4.803	5.181	5.502	5.768	5.982	6.147	6.264	6.336	6.367	6.375	6.417	6.492	6.594	6.721	6.869	7.034	7.211	7.398	7.590	7.782	7.972	8.140	8.276	8.397	8.499	8.565	8.585	8.566	8.530	8.516	8.567	8.662	8.802	8.991	9.231	9.524	9.873	10.280	10.745	11.270	11.857	12.506	13.218	13.994	14.833	15.735	16.700	17.727	18.816	19.965	21.173	22.439	23.760	25.134	26.559	28.033	29.553	31.116	32.719	34.358	36.032	37.735	39.464	41.216	42.987	44.773	46.570	48.374	50.181	51.987	53.788	55.580	57.359	59.121	60.863	62.579	64.268	65.925	67.547	69.130	70.672	72.169	73.619	75.019	76.367	77.660	78.897	80.076	81.195	82.253	83.250	84.183	85.054	inf
inf	6.078	5.698	5.382	5.131	4.946	4.824	4.764	5.103	5.385	5.612	5.787	5.912	5.990	6.024	6.032	6.078	6.160	6.273	6.415	6.581	6.768	6.972	7.188	7.414	7.629	7.822	8.011	8.194	8.351	8.472	8.574	8.653	8.693	8.664	8.594	8.543	8.528	8.583	8.685	8.835	9.036	9.290	9.600	9.967	10.393	10.879	11.427	12.037	12.710	13.447	14.247	15.110	16.036	17.024	18.074	19.184	20.353	21.579	22.861	24.196	25.582	27.017	28.498	30.022	31.586	33.186	34.821	36.485	38.175	39.888	41.620	43.367	45.125	46.890	48.658	50.425	52.187	53.939	55.679	57.402	59.105	60.782	62.432	64.050	65.632	67.177	68.679	70.137	71.548	72.909	74.218	75.472	76.670	77.810	78.890	79.909	80.867	81.761	82.593	inf
inf	6.804	6.360	5.981	5.668	5.421	5.238	5.119	5.060	5.300	5.485	5.618	5.702	5.737	5.746	5.796	5.885	6.009	6.164	6.348	6.556	6.785	7.014	7.231	7.456	7.687	7.903	8.092	8.275	8.447	8.589	8.691	8.770	8.823	8.805	8.701	8.613	8.558	8.541	8.600	8.708	8.867	9.079	9.347	9.672	10.056	10.500	11.006	11.574	12.204	12.899	13.656	14.477	15.361	16.307	17.315	18.383	19.510	20.694	21.934	23.227	24.571	25.963	27.402	28.884	30.405	31.964	33.556	35.178	36.826	38.497	40.187	41.891	43.607	45.330	47.056	48.780	50.500	52.211	53.909	55.589	57.250	58.885	60.492	62.068	63.609	65.111	66.571	67.987	69.356	70.675	71.941	73.153	74.309	75.407	76.445	77.422	78.337	79.189	79.979	inf
inf	7.485	6.978	6.536	6.160	5.850	5.607	5.428	5.312	5.255	5.395	5.483	5.521	5.531	5.584	5.680	5.813	5.982	6.183	6.393	6.601	6.830	7.076	7.318	7.544	7.774	8.006	8.219	8.401	8.573	8.730	8.853	8.932	8.985	8.990	8.853	8.728	8.633	8.573	8.555	8.618	8.732	8.899	9.122	9.401	9.740	10.139	10.600	11.123	11.709	12.358	13.070	13.846	14.685	15.586	16.549	17.572	18.653	19.792	20.987	22.235	23.534	24.881	26.275	27.711	29.188	30.701	32.248	33.825	35.428	37.054	38.699	40.359	42.029	43.707	45.388	47.067	48.742	50.408	52.060	53.696	55.311	56.901	58.464	59.994	61.490	62.947	64.362	65.733	67.057	68.330	69.552	70.719	71.830	72.882	73.875	74.807	75.677	76.484	77.229	inf
inf	8.118	7.547	7.042	6.603	6.232	5.928	5.689	5.515	5.402	5.347	5.388	5.397	5.454	5.556	5.699	5.861	6.030	6.231	6.459	6.694	6.923	7.169	7.428	7.679	7.909	8.141	8.370	8.576	8.747	8.904	9.042	9.142	9.195	9.218	9.052	8.891	8.756	8.653	8.589	8.570	8.636	8.755	8.930	9.162	9.453	9.805	10.217	10.692	11.230	11.832	12.496	13.224	14.015	14.869	15.783	16.758	17.792	18.884	20.030	21.230	22.482	23.781	25.127	26.516	27.945	29.410	30.909	32.438	33.994	35.572	37.168	38.780	40.403	42.033	43.666	45.298	46.925	48.542	50.147	51.735	53.302	54.845	56.359	57.842	59.290	60.699	62.067	63.390	64.665	65.891	67.065	68.184	69.247	70.252	71.197	72.081	72.903	73.663	74.359	inf
inf	8.701	8.067	7.498	6.997	6.564	6.198	5.900	5.668	5.498	5.389	5.358	5.418	5.505	5.606	5.750	5.931	6.128	6.329	6.558	6.811	7.067	7.312	7.571	7.839	8.095	8.327	8.555	8.777	8.972	9.128	9.266	9.382	9.455	9.479	9.302	9.104	8.929	8.783	8.673	8.606	8.586	8.655	8.779	8.961	9.201	9.502	9.865	10.289	10.777	11.328	11.942	12.620	13.361	14.163	15.028	15.953	16.936	17.977	19.073	20.223	21.424	22.673	23.968	25.307	26.685	28.100	29.549	31.028	32.533	34.060	35.607	37.168	38.741	40.320	41.903	43.484	45.061	46.628	48.183	49.720	51.237	52.729	54.193	55.626	57.023	58.382	59.699	60.972	62.197	63.373	64.496	65.565	66.577	67.532	68.426	69.260	70.032	70.741	71.387	inf
