0.000	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
inf	0.771	1.478	2.122	2.703	3.222	3.681	4.079	4.420	4.705	4.934	5.112	5.240	5.320	5.356	5.362	5.406	5.485	5.596	5.735	5.899	6.083	6.284	6.499	6.722	6.950	7.180	7.406	7.625	7.834	8.027	8.201	8.353	8.479	8.574	8.636	8.662	8.676	8.734	8.838	8.990	9.194	9.451	9.763	10.132	10.561	11.050	11.600	12.212	12.888	13.627	14.429	15.294	16.223	17.214	18.266	19.379	20.550	21.779	23.063	24.401	25.789	27.226	28.710	30.236	31.802	33.405	35.042	36.708	38.401	40.117	41.851	43.600	45.361	47.128	48.899	50.668	52.432	54.188	55.930	57.655	59.360	61.040	62.692	64.312	65.897	67.444	68.949	70.410	71.823	73.186	74.498	75.754	76.955	78.097	79.179	80.201	81.161	82.058	82.892	inf
inf	1.499	1.436	2.038	2.577	3.054	3.471	3.828	4.126	4.369	4.557	4.692	4.778	4.816	4.822	4.870	4.956	5.077	5.230	5.411	5.617	5.843	6.087	6.343	6.608	6.878	7.150	7.418	7.667	7.876	8.069	8.243	8.395	8.521	8.616	8.678	8.704	8.689	8.692	8.754	8.864	9.026	9.241	9.511	9.839	10.225	10.672	11.180	11.751	12.384	13.081	13.841	14.665	15.551	16.500	17.510	18.581	19.710	20.897	22.139	23.435	24.782	26.177	27.618	29.103	30.627	32.188	33.782	35.407	37.058	38.731	40.424	42.131	43.850	45.575	47.303	49.031	50.753	52.466	54.167	55.850	57.513	59.151	60.761	62.339	63.882	65.387	66.850	68.269	69.640	70.962	72.231	73.445	74.604	75.704	76.745	77.724	78.642	79.497	80.289	inf
inf	2.183	2.056	1.993	2.487	2.919	3.291	3.603	3.857	4.054	4.197	4.288	4.329	4.335	4.386	4.479	4.610	4.776	4.974	5.200	5.450	5.721	6.010	6.311	6.621	6.923	7.195	7.463	7.724	7.963	8.156	8.330	8.482	8.608	8.703	8.765	8.790	8.761	8.718	8.709	8.775	8.891	9.061	9.286	9.569	9.911	10.313	10.776	11.302	11.890	12.542	13.257	14.036	14.878	15.782	16.747	17.773	18.857	19.999	21.196	22.447	23.749	25.099	26.495	27.935	29.414	30.930	32.480	34.060	35.666	37.294	38.942	40.604	42.278	43.958	45.642	47.324	49.001	50.670	52.325	53.964	55.582	57.175	58.740	60.273	61.772	63.231	64.649	66.023	67.350	68.626	69.850	71.020	72.134	73.189	74.185	75.119	75.992	76.802	77.549	inf
inf	2.819	2.628	2.502	2.439	2.824	3.148	3.412	3.619	3.768	3.864	3.907	3.913	3.968	4.066	4.206	4.385	4.599	4.844	5.118	5.416	5.735	6.057	6.359	6.669	6.984	7.287	7.556	7.817	8.067	8.290	8.465	8.617	8.742	8.838	8.900	8.925	8.881	8.795	8.740	8.727	8.796	8.918	9.096	9.331	9.625	9.979	10.395	10.873	11.413	12.018	12.685	13.416	14.210	15.067	15.984	16.962	17.999	19.093	20.243	21.446	22.700	24.003	25.351	26.743	28.175	29.643	31.145	32.677	34.236	35.817	37.416	39.031	40.657	42.290	43.926	45.560	47.190	48.811	50.419	52.010	53.580	55.125	56.643	58.128	59.579	60.991	62.362	63.688	64.966	66.195	67.372	68.494	69.560	70.567	71.515	72.402	73.228	73.990	74.690	inf
inf	3.404	3.151	2.961	2.836	2.774	3.048	3.262	3.418	3.517	3.562	3.569	3.626	3.731	3.880	4.070	4.299	4.563	4.859	5.168	5.466	5.785	6.121	6.456	6.767	7.082	7.398	7.698	7.960	8.210	8.445	8.650	8.802	8.927	9.023	9.085	9.110	9.051	8.922	8.821	8.759	8.746	8.818	8.945	9.130	9.374	9.678	10.043	10.471	10.961	11.515	12.133	12.814	13.557	14.363	15.231	16.159	17.145	18.189	19.289	20.441	21.645	22.898	24.196	25.538	26.919	28.338	29.789	31.271	32.779	34.310	35.859	37.424	38.999	40.582	42.168	43.752	45.332	46.902	48.460	50.001	51.520	53.016	54.483	55.918	57.319	58.681	60.001	61.277	62.505	63.684	64.810	65.882	66.898	67.855	68.753	69.590	70.365	71.077	71.726	inf
inf	3.937	3.620	3.368	3.180	3.056	2.995	3.157	3.260	3.307	3.314	3.374	3.484	3.641	3.842	4.085	4.352	4.616	4.911	5.235	5.569	5.888	6.224	6.573	6.917	7.232	7.549	7.862	8.155	8.405	8.641	8.857	9.039	9.164	9.260	9.322	9.347	9.273	9.101	8.955	8.844	8.779	8.765	8.840	8.972	9.163	9.415	9.727	10.103	10.541	11.042	11.607	12.235	12.926	13.680	14.495	15.370	16.304	17.295	18.342	19.442	20.594	21.794	23.039	24.328	25.657	27.023	28.422	29.851	31.307	32.785	34.282	35.794	37.317	38.847	40.380	41.912	43.439	44.957	46.462	47.950	49.417	50.860	52.274	53.657	55.005	56.314	57.582	58.805	59.981	61.107	62.181	63.200	64.163	65.068	65.913	66.698	67.420	68.080	68.676	inf
inf	4.416	4.035	3.720	3.469	3.283	3.161	3.102	3.150	3.158	3.220	3.335	3.499	3.695	3.897	4.140	4.421	4.723	5.019	5.342	5.691	6.046	6.382	6.730	7.088	7.438	7.754	8.067	8.373	8.656	8.891	9.107	9.301	9.456	9.552	9.614	9.639	9.551	9.335	9.143	8.984	8.868	8.800	8.785	8.863	8.999	9.196	9.454	9.774	10.158	10.604	11.114	11.688	12.324	13.023	13.783	14.604	15.483	16.420	17.412	18.457	19.554	20.699	21.890	23.124	24.398	25.709	27.054	28.428	29.829	31.252	32.695	34.152	35.620	37.095	38.574	40.051	41.523	42.986	44.437	45.870	47.282	48.671	50.030	51.359	52.652	53.906	55.119	56.288	57.409	58.480	59.499	60.464	61.372	62.222	63.012	63.742	64.410	65.015	65.557	inf
inf	4.838	4.394	4.015	3.701	3.454	3.271	3.152	3.110	3.174	3.277	3.392	3.556	3.768	4.008	4.251	4.533	4.849	5.183	5.506	5.855	6.224	6.596	6.945	7.303	7.665	8.016	8.329	8.635	8.930	9.198	9.414	9.608	9.775	9.901	9.963	9.988	9.885	9.626	9.388	9.180	9.013	8.892	8.822	8.806	8.886	9.026	9.227	9.491	9.818	10.208	10.661	11.178	11.758	12.400	13.103	13.867	14.690	15.570	16.505	17.494	18.534	19.622	20.757	21.934	23.152	24.406	25.694	27.012	28.356	29.723	31.108	32.509	33.920	35.339	36.761	38.181	39.597	41.003	42.397	43.774	45.129	46.461	47.764	49.036	50.272	51.470	52.626	53.738	54.803	55.817	56.780	57.688	58.539	59.332	60.066	60.739	61.350	61.899	62.384	inf
inf	5.201	4.694	4.251	3.876	3.566	3.323	3.160	3.176	3.233	3.352	3.507	3.671	3.883	4.139	4.421	4.702	5.019	5.367	5.729	6.077	6.446	6.832	7.217	7.575	7.938	8.302	8.649	8.955	9.251	9.531	9.779	9.973	10.140	10.278	10.370	10.395	10.277	9.976	9.691	9.435	9.217	9.042	8.916	8.844	8.827	8.909	9.052	9.258	9.526	9.858	10.253	10.711	11.233	11.816	12.461	13.167	13.931	14.753	15.630	16.560	17.542	18.572	19.648	20.767	21.926	23.122	24.352	25.611	26.897	28.205	29.533	30.875	32.228	33.588	34.952	36.314	37.671	39.019	40.354	41.673	42.970	44.243	45.488	46.701	47.879	49.019	50.117	51.170	52.176	53.133	54.037	54.886	55.680	56.415	57.090	57.705	58.257	58.747	59.174	inf
