0.000	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
inf	0.685	1.433	2.244	3.117	4.053	5.050	6.106	7.220	8.391	9.616	10.894	12.221	13.596	15.015	16.475	17.975	19.509	21.075	22.669	24.288	25.927	27.584	29.253	30.931	32.615	34.299	35.981	37.655	39.318	40.967	42.596	44.203	45.784	47.334	48.851	50.332	51.772	53.169	54.520	55.823	57.075	58.273	59.416	60.501	61.528	62.494	63.399	64.242	65.021	65.737	66.390	66.980	67.506	67.970	68.373	68.716	68.999	69.226	69.397	69.514	69.581	69.598	69.626	69.698	69.809	69.957	70.138	70.350	70.588	70.848	71.127	71.422	71.727	72.039	72.355	72.669	72.978	73.278	73.566	73.836	74.086	74.311	74.508	74.673	74.803	74.894	74.944	74.950	74.992	75.083	75.227	75.426	75.680	75.993	76.366	76.799	77.294	77.852	78.474	inf
inf	1.414	1.477	2.289	3.162	4.098	5.095	6.151	7.265	8.436	9.661	10.939	12.266	13.640	15.060	16.520	18.019	19.554	21.120	22.714	24.333	25.972	27.628	29.298	30.976	32.660	34.344	36.025	37.700	39.363	41.011	42.641	44.248	45.828	47.379	48.896	50.376	51.817	53.214	54.565	55.868	57.120	58.318	59.461	60.546	61.573	62.539	63.444	64.286	65.066	65.782	66.435	67.025	67.551	68.015	68.418	68.761	69.044	69.271	69.441	69.559	69.625	69.643	69.615	69.641	69.708	69.811	69.947	70.114	70.307	70.523	70.757	71.006	71.267	71.534	71.805	72.074	72.339	72.594	72.837	73.062	73.267	73.447	73.599	73.719	73.805	73.851	73.856	73.896	73.982	74.119	74.308	74.551	74.850	75.208	75.626	76.104	76.644	77.247	77.913	inf
inf	2.185	2.249	2.375	3.249	4.185	5.181	6.238	7.352	8.523	9.748	11.025	12.353	13.727	15.146	16.607	18.106	19.640	21.206	22.801	24.419	26.059	27.715	29.385	31.063	32.746	34.431	36.112	37.787	39.450	41.098	42.728	44.335	45.915	47.466	48.983	50.463	51.904	53.301	54.652	55.955	57.206	58.405	59.547	60.633	61.659	62.626	63.531	64.373	65.153	65.869	66.522	67.111	67.638	68.102	68.505	68.847	69.131	69.357	69.528	69.646	69.712	69.730	69.674	69.631	69.655	69.716	69.811	69.936	70.087	70.260	70.453	70.660	70.879	71.104	71.333	71.560	71.783	71.996	72.197	72.381	72.543	72.682	72.792	72.870	72.913	72.918	72.955	73.036	73.165	73.343	73.574	73.859	74.201	74.600	75.059	75.580	76.162	76.806	77.514	inf
inf	2.995	3.059	3.185	3.375	4.310	5.307	6.363	7.478	8.648	9.873	11.151	12.478	13.853	15.272	16.733	18.232	19.766	21.332	22.926	24.545	26.184	27.841	29.510	31.188	32.872	34.556	36.238	37.912	39.575	41.224	42.853	44.460	46.041	47.591	49.109	50.589	52.029	53.426	54.778	56.080	57.332	58.530	59.673	60.758	61.785	62.751	63.656	64.499	65.278	65.995	66.647	67.237	67.763	68.228	68.631	68.973	69.257	69.483	69.654	69.771	69.838	69.856	69.771	69.685	69.645	69.667	69.723	69.809	69.921	70.056	70.210	70.379	70.558	70.745	70.935	71.123	71.307	71.482	71.644	71.788	71.912	72.012	72.083	72.123	72.127	72.161	72.237	72.357	72.524	72.741	73.011	73.335	73.715	74.154	74.652	75.211	75.832	76.515	77.262	inf
inf	3.841	3.905	4.031	4.220	4.472	5.468	6.524	7.639	8.809	10.035	11.312	12.639	14.014	15.433	16.894	18.393	19.927	21.493	23.087	24.706	26.346	28.002	29.671	31.350	33.033	34.717	36.399	38.073	39.737	41.385	43.015	44.621	46.202	47.753	49.270	50.750	52.190	53.588	54.939	56.242	57.493	58.691	59.834	60.920	61.946	62.912	63.817	64.660	65.439	66.156	66.809	67.398	67.925	68.389	68.792	69.134	69.418	69.644	69.815	69.932	69.999	70.017	69.904	69.775	69.695	69.658	69.678	69.729	69.805	69.905	70.023	70.156	70.300	70.451	70.605	70.759	70.907	71.046	71.172	71.281	71.370	71.434	71.469	71.473	71.505	71.574	71.685	71.841	72.044	72.296	72.602	72.961	73.377	73.851	74.385	74.979	75.636	76.355	77.137	inf
inf	4.719	4.782	4.909	5.098	5.349	5.661	6.718	7.832	9.003	10.228	11.505	12.833	14.207	15.626	17.087	18.586	20.120	21.686	23.281	24.899	26.539	28.195	29.865	31.543	33.226	34.911	36.592	38.267	39.930	41.578	43.208	44.815	46.395	47.946	49.463	50.943	52.384	53.781	55.132	56.435	57.686	58.885	60.027	61.113	62.139	63.106	64.011	64.853	65.633	66.349	67.002	67.591	68.118	68.582	68.985	69.327	69.611	69.837	70.008	70.126	70.192	70.210	70.069	69.897	69.777	69.703	69.670	69.688	69.733	69.800	69.886	69.987	70.099	70.218	70.340	70.461	70.577	70.684	70.778	70.855	70.911	70.943	70.947	70.975	71.038	71.140	71.283	71.471	71.706	71.991	72.328	72.719	73.167	73.674	74.239	74.866	75.555	76.306	77.120	inf
inf	5.625	5.689	5.815	6.005	6.256	6.568	6.939	8.054	9.225	10.450	11.727	13.055	14.429	15.848	17.309	18.808	20.342	21.908	23.503	25.121	26.761	28.417	30.086	31.765	33.448	35.133	36.814	38.488	40.152	41.800	43.430	45.037	46.617	48.168	49.685	51.165	52.605	54.003	55.354	56.657	57.908	59.107	60.249	61.335	62.361	63.328	64.232	65.075	65.855	66.571	67.224	67.813	68.340	68.804	69.207	69.549	69.833	70.059	70.230	70.348	70.414	70.432	70.263	70.048	69.888	69.777	69.710	69.680	69.696	69.735	69.792	69.865	69.948	70.038	70.132	70.224	70.312	70.390	70.455	70.504	70.531	70.535	70.560	70.616	70.708	70.839	71.010	71.227	71.490	71.804	72.170	72.590	73.067	73.601	74.196	74.851	75.568	76.335	77.149	inf
inf	6.557	6.620	6.747	6.936	7.187	7.499	7.871	8.301	9.471	10.697	11.974	13.301	14.676	16.095	17.556	19.055	20.589	22.155	23.749	25.368	27.008	28.664	30.333	32.012	33.695	35.380	37.061	38.735	40.399	42.047	43.677	45.283	46.864	48.415	49.932	51.412	52.852	54.250	55.601	56.904	58.155	59.353	60.496	61.582	62.608	63.574	64.479	65.322	66.102	66.818	67.471	68.060	68.587	69.051	69.454	69.796	70.080	70.306	70.477	70.595	70.661	70.679	70.482	70.223	70.023	69.876	69.776	69.716	69.689	69.703	69.735	69.783	69.841	69.907	69.975	70.043	70.105	70.158	70.199	70.222	70.225	70.247	70.297	70.378	70.495	70.651	70.847	71.089	71.377	71.716	72.107	72.552	73.053	73.613	74.221	74.876	75.593	76.373	77.202	inf
inf	7.509	7.573	7.699	7.889	8.140	8.452	8.823	9.253	9.739	10.965	12.242	13.569	14.944	16.363	17.824	19.323	20.857	22.423	24.017	25.636	27.276	28.932	30.601	32.280	33.963	35.648	37.329	39.003	40.667	42.315	43.945	45.552	47.132	48.683	50.200	51.680	53.120	54.518	55.869	57.172	58.423	59.621	60.764	61.850	62.876	63.843	64.747	65.590	66.370	67.086	67.739	68.328	68.855	69.319	69.722	70.064	70.348	70.574	70.745	70.863	70.929	70.947	70.722	70.420	70.180	69.996	69.862	69.772	69.720	69.697	69.708	69.734	69.772	69.816	69.863	69.909	69.951	69.983	70.002	70.004	70.023	70.066	70.137	70.240	70.378	70.554	70.772	71.035	71.345	71.704	72.116	72.573	73.075	73.634	74.254	74.922	75.639	76.419	77.262	inf
